"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner","Planning_Status_Code"
"L_1371",469500,426500,"Rusholme Wind Farm",12,2,24,"Approved","N00333W","18/12/2014","North Yorkshire","Yorkshire and Humber","England","02/07/2004","01/08/2010","04/10/2010","Large",2004,"E01027884",20.11,36.13,1.83,4,64.84,"E07000169",0.11,3.62,51.29,6.27,1.51,3.67,3.19,3.82,2.46,3.82,2.46,3,1.54,6.5,2907,1,41,23,14,1,3,NA,"Con",21,56.0975609756098,34.1463414634146,2.4390243902439,7.31707317073171,NA,1628,38.2,39,1294,283,22,493,16.6,627,499,80,1
"L_1372",218776,652956,"Hunterston Test Centre",3,7,7,"Approved","B0679","22/03/2016","Strathclyde","Scotland","Scotland","29/09/2011","21/03/2013","15/12/2015","Large",2011,"S01004485",31.14,18.25,5.54,1.94,157.28,"S12000021",0.9,28.89,27.51,41.19,1.67,1.56,0.9,25.81,15.68,10.44,0.28,4,0.76,6.1,8022,12,30,3,12,2,5,8,"NOC",16,10,40,6.66666666666667,16.6666666666667,26.6666666666667,542,43.2,47,458,181,40,364,33.8,227,182,80,1
"L_1373",234250,824290,"Glenurquhart and Strathglass Wind Farm project",5,2,10,"Approved","A0539","10/05/2013","Highland","Scotland","Scotland","12/05/2010","01/08/2012","19/04/2013","Large",2010,"S01003753",51.38,6.86,7.02,15.86,233.73,"S12000017",4.45,125.75,32.68,4.5,3.3,8.42,27.86,25.77,4.88,5.15,4.88,459,4.31,7.9,8018,12,80,0,7,22,34,17,"NOC",41,0,8.75,27.5,42.5,21.25,1105,45.8,49,948,266,28,684,14.8,503,353,70,1
"L_1374",279061,663992,"Damhead Farm",1,2.5,2.5,"Approved","A0540","31/10/2014","Strathclyde","Scotland","Scotland","11/05/2007",NA,"17/05/2013","Large",2007,"S01004715",31.39,39.23,1.24,1.24,118.99,"S12000044",0.03,2.01,37.12,9.81,0.14,2.1,1.79,22.91,7.4,8.09,1.71,169,0.59,7.7,8023,12,70,1,40,1,5,23,"Lab",36,1.42857142857143,57.1428571428571,1.42857142857143,7.14285714285714,32.8571428571429,1672,35.1,36,1278,269,21,1116,17.4,659,494,75,1
"L_1375",500498,241710,"Marston Vale Country Park Wind Turbine",1,1.5,1.5,"Approved","B0554","20/01/2015","Bedfordshire","Eastern","England","11/11/2011","23/10/2013","01/05/2014","Large",2011,"E01017416",5.75,11.36,3.66,2.45,123.29,"E06000056",0.71,5.97,99.2,13.45,0.62,1,0.62,23.79,26.26,23.79,2.9,41,0.61,5.8,225,11,59,49,1,5,4,NA,"Con",30,83.0508474576271,1.69491525423729,8.47457627118644,6.77966101694915,NA,1981,38.4,39,1574,455,29,612,27,781,602,77,1
"L_1376",542000,302000,"Coldham",8,2,16,"Approved","01006W5","11/04/2011","Cambridgeshire","Eastern","England","02/08/1999",NA,"01/11/2005","Large",1999,"E01018068",31.27,28.7,2.45,1.1,50.09,"E07000010",0.39,28.14,80.9,23.93,1.06,2.21,0.98,2.34,2.35,2.34,2.34,1,1.3,6.2,503,1,39,28,7,1,3,NA,"Con",20,71.7948717948718,17.9487179487179,2.56410256410256,7.69230769230769,NA,1534,42.1,45,1266,189,15,439,12.5,594,427,72,1
"L_1377",530221,430242,"Tedder Hill Wind cluster",3,2.5,7.5,"Approved","A0542","06/03/2014","Humberside","Yorkshire and Humber","England","11/05/2006","30/10/2012","30/08/2013","Large",2006,"E01013078",29.24,26.58,4.26,0.41,15.84,"E06000011",0.42,31.66,62.68,18.97,1.77,12.68,14.23,10.54,11.41,10.54,3.08,1,0.8,6.9,2021,11,67,29,8,22,8,NA,"NOC",34,43.2835820895522,11.9402985074627,32.8358208955224,11.9402985074627,NA,1423,45.5,49,1208,308,25,405,28.6,594,485,82,1
"L_1378",177000,626200,"Tangy Wind Farm Extension",7,0.85,6,"Approved","N00250W","25/01/2012","Strathclyde","Scotland","Scotland","01/07/2004","01/05/2006","17/06/2011","Large",2004,"S01000720",10.95,14.79,25.17,0.23,161.55,"S12000035",5.73,70.79,66.02,56.42,12.56,7.2,48.23,3.55,32.15,3.55,3.55,12,1.46,6.7,8004,12,36,3,0,8,22,3,"Ind",19,8.33333333333333,0,22.2222222222222,61.1111111111111,8.33333333333333,778,52.1,57,690,193,28,419,14.8,375,277,74,1
"L_1379",429400,589799,"Lynemouth Windfarm (Resubmission)",13,2,26,"Approved","AA008","24/04/2012","Northumberland","North East","England","20/11/2006","01/07/2010","12/04/2012","Large",2006,"E01027542",20.72,15.16,1.05,2.54,3.54,"E06000048",0.51,24.78,23.87,41.38,0.35,0.88,0.07,1.9,15.38,1.91,1.65,21,0,7.1,2800,2,67,14,35,14,4,NA,"Lab",34,20.8955223880597,52.2388059701493,20.8955223880597,5.97014925373134,NA,1811,40.8,41,1422,167,12,548,6.8,843,323,38,1
"L_1380",196465,721170,"Carraig Gheal",20,2.3,46,"Approved","EN00031","06/10/2014","Strathclyde","Scotland","Scotland","15/11/2004","01/03/2011","31/08/2013","Large",2004,"S01000808",15.32,18.08,13.01,5.47,211.26,"S12000035",2.91,65.33,24.68,7.68,5.1,9.42,10.51,50.2,5.32,11.14,5.32,442,2.88,9.4,8004,12,36,3,0,8,22,3,"Ind",19,8.33333333333333,0,22.2222222222222,61.1111111111111,8.33333333333333,749,45.1,49,638,235,37,477,21.8,322,224,70,1
