"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner"
"L_0357",377377,671362,"Kinegar Quarry",2,2.5,5,"Refused/Abandoned","AA087","03/07/2014","Borders","Scotland","Scotland","12/03/2010",NA,NA,"Large",2010,"S01005489",58.04,31.82,1.96,11.86,24.75,"S12000026",0.2,59.21,39.46,13.61,2.54,0.53,0.38,12.4,6.16,5.35,0.72,68,0.04,6.8,8005,12,34,11,0,10,7,6,"NOC",18,32.3529411764706,0,29.4117647058824,20.5882352941176,17.6470588235294,962,42.7,46,801,221,28,633,17.1,428,261,61
"L_0358",415200,538600,"Stanley Moss",2,2,4,"Refused/Abandoned","n00268w","30/09/2004","Durham","North East","England","16/02/2004",NA,NA,"Large",2004,"E01020893",33.21,4.94,3.34,0.44,29.17,"E06000047",0.38,15.42,33.91,12.58,0.42,2.24,5.07,29.79,7.93,7.93,7.11,277,0.53,8,1300,2,61,2,52,4,3,NA,"Lab",31,3.27868852459016,85.2459016393443,6.55737704918033,4.91803278688525,NA,1695,41.4,42,1409,268,19,563,12.8,741,533,72
"L_0359",291000,195000,"Werfa Wind Farm",0,0,14.3,"Refused/Abandoned","ENA0054","08/10/2013","Mid Glamorgan","Wales","Wales","28/09/2001",NA,NA,"Large",2001,"W01000978",31.76,28.52,0.56,4.4,45.66,"W06000013",1.49,12.09,11.97,14.9,8,11.02,3.71,19,8.67,33.19,1.12,560,1.65,8.1,7004,13,54,1,40,6,5,2,"Lab",28,1.85185185185185,74.0740740740741,11.1111111111111,9.25925925925926,3.7037037037037,1789,39.5,39,1443,168,12,561,6.4,774,551,71
"L_0360",520743,441870,"Withernwick extension",4,2.05,8.2,"Refused/Abandoned","C2584","04/11/2015","Humberside","Yorkshire and Humber","England","24/06/2014",NA,NA,"Large",2014,"E01013034",33.96,36.29,5.64,2.12,26.82,"E06000011",0.5,34.62,47.86,26.16,0.84,6.72,14.04,14.45,14.45,4.8,1.95,12,1.65,6.8,2021,11,67,52,6,3,6,NA,"Con",34,77.6119402985075,8.95522388059701,4.47761194029851,8.95522388059701,NA,1801,42.1,44,1454,452,31,542,29.7,734,606,83
"L_0361",419689,407232,"Dearne Head Wind Farm (Resubmission)",4,2,8,"Refused/Abandoned","IF1212","27/08/2013","West Yorkshire","Yorkshire and Humber","England","10/01/2013",NA,NA,"Large",2013,"E01011117",10.87,38.66,1.45,2.47,115.25,"E08000034",0.04,10.9,4.34,21.25,4.43,0.75,2.98,50.1,5.77,5.77,5.77,317,1.18,7.5,5303,5,69,18,32,10,9,NA,"NOC",35,26.0869565217391,46.3768115942029,14.4927536231884,13.0434782608696,NA,1786,41.5,43,1433,541,38,522,35.8,729,634,87
"L_0362",534322,266052,"Cambridge Wind Farm",16,2,32,"Refused/Abandoned","N00289W","02/11/2011","Cambridgeshire","Eastern","England","10/08/2004",NA,NA,"Large",2004,"E01018277",16.12,39.76,5.14,4.43,85.33,"E07000012",1.25,7.54,98.18,18.81,3.13,0.44,3.48,9.89,9.89,9.89,2.66,29,1.39,6.2,501,1,42,1,13,28,0,NA,"LD",22,2.38095238095238,30.952380952381,66.6666666666667,0,NA,1719,42.4,44,1397,585,42,519,42.8,709,533,75
"L_0363",232752,672241,"Priestside Farm",2,0.9,1.8,"Refused/Abandoned","IF1280","03/07/2013","Strathclyde","Scotland","Scotland","04/02/2013",NA,NA,"Large",2013,"S01004013",15.93,10.51,1.58,1.89,165.79,"S12000018",0.75,7.85,10.11,17.69,0.28,2.29,2.07,2.16,17.69,2.16,2.16,168,0.64,8,8019,12,20,1,10,2,1,6,"NOC",11,5,50,10,5,30,537,42.1,44,431,192,45,320,43.1,217,191,88
"L_0364",296852,667243,"Cowdenhead Wind Turbines",2,0.75,1.5,"Refused/Abandoned","IF1434","03/10/2013","Lothian","Scotland","Scotland","05/03/2013",NA,NA,"Large",2013,"S01006364",18.66,32.15,0.48,0.36,101.49,"S12000040",0.18,1.31,49.07,7.64,0.25,5.9,0.58,13.7,7.64,13.7,2.64,145,0.09,7,8029,12,33,1,16,0,1,15,"NOC",17,3.03030303030303,48.4848484848485,0,3.03030303030303,45.4545454545455,4216,29,31,3080,1050,34,2957,28,1602,1195,75
"L_0365",349243,856794,"Netherton Of Windyhills (extension)",1,2.3,2.3,"Refused/Abandoned","IF1034","01/04/2014","Grampian","Scotland","Scotland","04/10/2012",NA,NA,"Large",2012,"S01004252",31.56,58.22,5.13,0.28,205.14,"S12000020",0.39,139.35,37.42,54.96,1.03,8.52,6.03,15.04,10.56,15.04,5.48,192,2.34,8.5,8021,12,26,3,3,0,10,10,"NOC",14,11.5384615384615,11.5384615384615,0,38.4615384615385,38.4615384615385,638,41.7,45,523,143,27,427,15.5,251,215,86
"L_0366",439400,539700,"Edder Acres Farm",2,2.3,5,"Refused/Abandoned","N00296W","09/06/2010","Durham","North East","England","21/12/2004",NA,NA,"Large",2004,"E01020788",27,29.09,1.27,0.07,5.46,"E06000047",0.65,8.04,30.97,1.79,0.06,1.65,5.37,7.54,1.79,7.54,1.79,124,0.35,7.2,1300,2,61,2,52,4,3,NA,"Lab",31,3.27868852459016,85.2459016393443,6.55737704918033,4.91803278688525,NA,1538,40.4,41,1255,150,12,472,8.1,664,422,64
